OrderId,AccountID,StockSymbol,OrderType,Quantity,OrderPrice,Amount,OrderStatus,OrderDate
1,1,GOOGL,buy,48,339.67,16304.16,fulfilled,2023-11-06 14:38:04
2,1,GOOGL,sell,8,339.67,2717.36,fulfilled,2023-11-06 14:38:04
3,1,GOOGL,buy,70,205.92,14414.4,fulfilled,2023-11-07 13:44:48
4,1,GOOGL,sell,53,205.92,10913.76,fulfilled,2023-11-07 13:44:48
5,1,TCS,buy,51,218.07,11121.57,fulfilled,2023-11-15 12:53:44
6,1,TCS,sell,33,218.07,7196.3099999999995,fulfilled,2023-11-15 12:53:44
7,1,AAPL,buy,74,70.06,5184.4400000000005,fulfilled,2023-11-13 12:14:54
8,1,MSFT,buy,43,13.35,574.05,fulfilled,2023-11-13 14:17:09
9,1,MSFT,sell,32,13.35,427.2,fulfilled,2023-11-13 14:17:09
10,2,AAPL,buy,43,122.01,5246.43,fulfilled,2023-11-06 10:20:48
11,2,AAPL,sell,27,122.01,3294.27,fulfilled,2023-11-06 10:20:48
12,2,TCS,buy,65,82.29,5348.85,fulfilled,2023-11-06 12:08:35
13,2,TCS,sell,57,82.29,4690.530000000001,fulfilled,2023-11-06 12:08:35
14,2,AAPL,buy,11,160.58,1766.38,fulfilled,2023-11-14 11:23:23
15,2,TCS,buy,46,446.75,20550.5,fulfilled,2023-11-13 11:02:30
16,3,AAPL,buy,66,101.24,6681.839999999999,fulfilled,2023-11-10 14:39:10
17,3,AAPL,sell,31,101.24,3138.44,fulfilled,2023-11-10 14:39:10
18,3,AAPL,buy,24,183.55,4405.200000000001,fulfilled,2023-11-14 11:20:32
19,3,AAPL,buy,7,81.99,573.93,fulfilled,2023-11-09 13:52:37
20,4,MSFT,buy,46,17.05,784.3000000000001,fulfilled,2023-11-08 13:35:12
21,4,MSFT,sell,22,17.05,375.1,fulfilled,2023-11-08 13:35:12
22,4,TCS,buy,75,62.28,4671.0,fulfilled,2023-11-16 11:05:20
23,5,AAPL,buy,17,111.08,1888.36,fulfilled,2023-11-09 10:45:39
24,5,AAPL,buy,26,107.79,2802.54,fulfilled,2023-11-09 10:43:53
25,5,AAPL,sell,25,107.79,2694.75,fulfilled,2023-11-09 10:43:53
26,5,MSFT,buy,75,49.26,3694.5,fulfilled,2023-11-15 10:28:30
27,5,MSFT,sell,26,49.26,1280.76,fulfilled,2023-11-15 10:28:30
28,5,AAPL,buy,29,70.76,2052.04,fulfilled,2023-11-15 11:29:20
29,5,AAPL,sell,2,70.76,141.52,fulfilled,2023-11-15 11:29:20
30,6,GOOGL,buy,13,218.47,2840.11,fulfilled,2023-11-15 14:15:05
31,6,GOOGL,sell,11,218.47,2403.17,fulfilled,2023-11-15 14:15:05
32,7,GOOGL,buy,75,166.41,12480.75,fulfilled,2023-11-17 11:12:04
33,7,GOOGL,sell,31,166.41,5158.71,fulfilled,2023-11-17 11:12:04
34,7,AAPL,buy,10,77.32,773.1999999999999,fulfilled,2023-11-06 14:34:41
35,7,AAPL,buy,7,72.62,508.34000000000003,fulfilled,2023-11-17 14:28:22
36,7,AAPL,sell,1,72.62,72.62,fulfilled,2023-11-17 14:28:22
37,8,TCS,buy,34,54.33,1847.22,fulfilled,2023-11-10 10:32:10
38,8,TCS,buy,31,70.59,2188.29,fulfilled,2023-11-09 14:25:46
39,8,TCS,sell,28,70.59,1976.52,fulfilled,2023-11-09 14:25:46
40,8,AAPL,buy,48,137.67,6608.16,fulfilled,2023-11-10 11:59:59
